city,Summary Level,State Code,County Code,Place Code, Mar27 confirmed, Mar27 heat, Mar26 confirmed, Mar26 heat, Mar25 confirmed, Mar25 heat, Mar24 confirmed, Mar24 heat, Mar23 confirmed, Mar23 heat, Mar22 confirmed, Mar22 heat, Mar21 confirmed, Mar21 heat, Mar20 confirmed, Mar20 heat, Mar19 confirmed, Mar19 heat, Mar18 confirmed, Mar18 heat, Mar17 confirmed, Mar17 heat
Pasadena,162,6,0,56000,9,1,9,2,7,2,6,2,3,1,3,1,3,1,2,1,2,1,2,1,2,1
Agoura Hills,162,6,0,394,6,2,5,2,3,1,3,1,1,1,,,,,,,,,,,,
Alhambra,162,6,0,884,8,2,8,2,6,2,5,2,4,1,3,1,3,1,3,1,2,1,1,1,1,1
Arcadia,162,6,0,2462,6,2,6,2,4,1,4,1,3,1,2,1,2,1,2,1,2,1,2,1,1,1
Artesia,162,6,0,2896,0,1,,,,,,,,,,,,,,,,,,,,
Avalon,162,6,0,3274,0,1,,,,,,,,,,,,,,,,,,,,
Azusa,162,6,0,3386,1,1,1,1,,,,,,,,,,,,,,,,,,
Baldwin Park,162,6,0,3666,0,1,,,,,,,,,,,,,,,,,,,,
Bell,162,6,0,4996,4,1,2,1,,,,,,,,,,,,,,,,,,
Bell Gardens,162,6,0,4996,1,1,3,1,3,1,,,,,,,,,,,,,,,,
Bellflower,162,6,0,4982,10,3,8,2,7,2,3,1,3,1,1,1,,,,,,,,,,
Beverly Hills,162,6,0,6308,21,4,15,3,13,3,12,3,12,3,8,2,7,2,5,2,4,1,4,1,1,1
Bradbury,162,6,0,7946,0,1,,,,,,,,,,,,,,,,,,,,
Burbank,162,6,0,8954,7,2,6,2,3,1,2,1,2,1,2,1,1,1,1,1,1,1,,,,
Calabasas,162,6,0,9598,7,2,5,2,4,1,4,1,3,1,2,1,1,1,1,1,1,1,,,,
Carson,162,6,0,11530,21,4,21,4,9,2,8,2,6,2,4,1,3,1,3,1,1,1,1,1,1,1
Cerritos,162,6,0,12552,1,1,2,1,2,1,2,1,2,1,2,1,1,1,,,,,,,,
Claremont,162,6,0,13756,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Commerce,162,6,0,14974,0,1,,,,,,,,,,,,,,,,,,,,
Compton,162,6,0,15044,7,2,5,2,2,1,1,1,1,1,,,,,,,,,,,,
Covina,162,6,0,16742,3,1,4,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,,,,
Cudahy,162,6,0,17498,0,1,,,,,,,,,,,,,,,,,,,,
Culver City,,,,,6,2,8,2,6,2,7,2,5,2,4,1,4,1,4,1,3,1,2,1,2,1
Diamond Bar,162,6,0,19192,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
Downey,162,6,0,19766,12,3,10,3,5,2,1,1,,,,,,,,,,,,,,
Duarte,162,6,0,19990,0,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,
El Monte,162,6,0,22230,0,1,,,,,,,,,,,,,,,,,,,,
El Segundo,162,6,0,22412,0,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,,,,,,
Gardena,162,6,0,28168,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glendale,162,6,0,30000,29,4,23,4,12,3,10,3,9,2,6,2,5,2,4,1,4,1,4,1,3,1
Glendora,162,6,0,30014,4,1,2,1,2,1,1,1,1,1,1,1,,,,,,,,,,
Hawaiian Gardens,162,6,0,32506,0,1,,,,,,,,,,,,,,,,,,,,
Hawthorne,162,6,0,32548,7,2,9,2,8,2,6,2,3,1,2,1,2,1,2,1,1,1,,,,
Hermosa Beach,162,6,0,33364,0,1,,,,,,,,,,,,,,,,,,,,
Hidden Hills,162,6,0,33518,0,1,,,,,,,,,,,,,,,,,,,,
Huntington Park,162,6,0,36056,0,1,,,,,,,,,,,,,,,,,,,,
Industry,162,6,0,36490,0,1,,,,,,,,,,,,,,,,,,,,
Inglewood,162,6,0,36546,12,3,12,3,5,2,5,2,3,1,3,1,2,1,2,1,2,1,1,1,1,1
Irwindale,162,6,0,36826,0,1,,,,,,,,,,,,,,,,,,,,
La Canada Flintridge,,,,,5,2,6,2,3,1,2,1,2,1,1,1,1,1,,,,,,,,
La Habra Heights,162,6,0,39304,0,1,,,,,,,,,,,,,,,,,,,,
La Mirada,162,6,0,40032,5,2,5,2,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
La Puente,162,6,0,40340,1,1,1,1,,,1,1,,,,,,,,,,,,,,
La Verne,162,6,0,40830,1,1,2,1,2,1,2,1,2,1,2,1,1,1,,,,,,,,
Lakewood,162,6,0,39892,8,2,7,2,4,1,3,1,1,1,1,1,1,1,1,1,,,,,,
Lancaster,162,6,0,40130,18,3,16,3,13,3,8,2,7,2,4,1,3,1,3,1,,,,,,
Lawndale,162,6,0,40886,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,,,,
Lomita,162,6,0,42468,0,1,12,3,9,2,9,2,8,2,8,2,7,2,5,2,5,2,,,,
Long Beach,162,6,0,43000,0,1,41,6,28,4,21,4,17,3,15,3,13,3,12,3,12,3,8,2,5,2
Lynwood,162,6,0,44574,8,2,6,2,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
Malibu,162,6,0,45246,0,1,,,,,,,,,,,,,,,,,,,,
Manhattan Beach,162,6,0,45400,22,4,21,4,17,3,11,3,9,2,7,2,7,2,6,2,5,2,4,1,4,1
Maywood,162,6,0,46492,1,1,1,1,,,,,,,,,,,,,,,,,,
Monrovia,162,6,0,48648,4,1,2,1,,,,,,,,,,,,,,,,,,
Montebello,162,6,0,48816,2,1,1,1,,,,,,,,,1,1,,,,,,,,
Monterey Park,162,6,0,48914,4,1,4,1,4,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,1,1
Norwalk,162,6,0,52526,9,2,9,2,2,1,1,1,,,,,,,,,,,,,,
Palmdale,162,6,0,55156,4,1,2,1,2,1,2,1,1,1,,,,,,,,,,,,
Palos Verdes Estates,162,6,0,55380,12,3,,,,,,,,,,,,,,,,,,,,
Paramount,162,6,0,55618,5,2,4,1,3,1,2,1,2,1,1,1,,,,,,,,,,
Pico Rivera,162,6,0,56924,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,
Pomona,162,6,0,58072,4,1,3,1,1,1,,,,,,,,,,,,,,,,
Rancho Palos Verdes,162,6,0,59514,7,2,6,2,5,2,3,1,1,1,1,1,,,,,,,,,,
Redondo Beach,162,6,0,60018,23,4,20,4,9,2,7,2,5,2,4,1,2,1,1,1,,,,,,
Rolling Hills,162,6,0,62644,0,1,,,,,,,,,,,,,,,,,,,,
Rolling Hills Estates,162,6,0,62644,0,1,,,,,,,,,,,,,,,,,,,,
Rosemead,162,6,0,62896,0,1,,,,,,,,,,,,,,,,,,,,
San Dimas,162,6,0,66070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Fernando,162,6,0,66140,0,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,,,,,,
San Gabriel,162,6,0,67042,5,2,3,1,1,1,1,1,,,,,,,,,,,,,,
San Marino,162,6,0,68224,0,1,,,,,,,,,,,,,,,,,,,,
Santa Clarita,162,6,0,69088,24,4,16,3,10,3,7,2,7,2,4,1,4,1,4,1,3,1,2,1,2,1
Santa Fe Springs,162,6,0,69154,0,1,,,,,,,,,,,,,,,,,,,,
Santa Monica,162,6,0,70000,28,4,21,4,18,3,16,3,12,3,7,2,5,2,4,1,2,1,3,1,1,1
Sierra Madre,162,6,0,71806,0,1,,,,,,,,,,,,,,,,,,,,
Signal Hill,162,6,0,71876,0,1,,,,,,,,,,,,,,,,,,,,
South El Monte,162,6,0,72996,0,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
South Gate,162,6,0,73080,4,1,4,1,2,1,1,1,1,1,1,1,,,,,,,,,,
South Pasadena,162,6,0,73220,3,1,4,1,3,1,3,1,3,1,3,1,2,1,2,1,1,1,1,1,1,1
Temple City,,,,,0,1,,,,,,,,,,,,,,,,,,,,
Torrance,162,6,0,80000,21,4,14,3,9,2,5,2,4,1,3,1,2,1,2,1,2,1,2,1,1,1
Vernon,162,6,0,82422,0,1,,,,,,,,,,,,,,,,,,,,
Walnut,162,6,0,83346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,
